#year	rate
5.64047 70.29722
5.66040 70.19476
5.68032 70.24469
5.70025 70.46062
5.72018 70.84313
5.74011 71.37953
5.76004 72.04508
5.77997 72.80560
5.79990 73.62108
5.81983 74.44996
5.83976 75.25351
5.85969 75.99977
5.87961 76.66665
5.89954 77.24377
5.91947 77.73287
5.93940 78.14680
5.95933 78.50726
5.97926 78.84154
5.99919 79.17885
6.01912 79.54655
6.03905 79.96685
6.05897 80.45432
6.07890 81.01451
6.09883 81.64375
6.11876 82.33008
6.13869 83.05512
6.15862 83.79661
6.17855 84.53115
6.19848 85.23685
6.21841 85.89557
6.23834 86.49435
6.25826 87.02612
6.27819 87.48951
6.29812 87.88795
6.31805 88.22828
6.33798 88.51911
6.35791 88.76917
6.37784 88.98605
6.39777 89.17531
6.41770 89.34019
6.43762 89.48190
6.45755 89.60035
6.47748 89.69519
6.49741 89.76688
6.51734 89.81770
6.53727 89.85236
6.55720 89.87816
6.57713 89.90464
6.59706 89.94278
6.61699 90.00375
6.63691 90.09754
6.65684 90.23155
6.67677 90.40941
6.69670 90.63028
6.71663 90.88854
6.73656 91.17423
6.75649 91.47392
6.77642 91.77207
6.79635 92.05276
6.81627 92.30135
6.83620 92.50613
6.85613 92.65962
6.87606 92.75936
6.89599 92.80820
6.91592 92.81397
6.93585 92.78867
6.95578 92.74724
6.97571 92.70612
6.99564 92.68168
7.01556 92.68878
7.03549 92.73966
7.05542 92.84303
7.07535 93.00366
7.09528 93.22240
7.11521 93.49646
7.13514 93.82005
7.15507 94.18516
7.17500 94.58240
7.19492 95.00183
7.21485 95.43365
7.23478 95.86874
7.25471 96.29905
7.27464 96.71775
7.29457 97.11933
7.31450 97.49948
7.33443 97.85504
7.35436 98.18385
7.37429 98.48463
7.39421 98.75688
7.41414 99.00090
7.43407 99.21768
7.45400 99.40894
7.47393 99.57708
7.49386 99.72511
7.51379 99.85655
7.53372 99.97530
7.55365 100.08542
7.57357 100.19089
7.59350 100.29546
7.61343 100.40238
7.63336 100.51424
7.65329 100.63288
7.67322 100.75933
7.69315 100.89381
7.71308 101.03581
7.73301 101.18421
7.75294 101.33741
7.77286 101.49343
7.79279 101.65009
7.81272 101.80505
7.83265 101.95590
7.85258 102.10013
7.87251 102.23519
7.89244 102.35841
7.91237 102.46702
7.93230 102.55814
7.95222 102.62885
7.97215 102.67624
7.99208 102.69757
8.01201 102.69046
8.03194 102.65305
8.05187 102.58424
8.07180 102.48386
8.09173 102.35283
8.11166 102.19322
8.13159 102.00834
8.15151 101.80259
8.17144 101.58141
8.19137 101.35103
8.21130 101.11829
8.23123 100.89037
8.25116 100.67451
8.27109 100.47786
8.29102 100.30721
8.31095 100.16888
8.33087 100.06859
8.35080 100.01134
8.37073 100.00136
8.39066 100.04201
8.41059 100.13571
8.43052 100.28380
8.45045 100.48644
8.47038 100.74247
8.49031 101.04929
8.51024 101.40278
8.53016 101.79727
8.55009 102.22561
8.57002 102.67929
8.58995 103.14875
8.60988 103.62372
8.62981 104.09368
8.64974 104.54837
8.66967 104.97837
8.68960 105.37560
8.70952 105.73378
8.72945 106.04885
8.74938 106.31917
8.76931 106.54562
8.78924 106.73155
8.80917 106.88254
8.82910 107.00606
8.84903 107.11098
8.86896 107.20704
8.88889 107.30428
8.90881 107.41248
8.92874 107.54064
8.94867 107.69649
8.96860 107.88616
8.98853 108.11394
9.00846 108.38208
9.02839 108.69079
9.04832 109.03829
9.06825 109.42095
9.08817 109.83348
9.10810 110.26924
9.12803 110.72056
9.14796 111.17906
9.16789 111.63604
9.18782 112.08287
9.20775 112.51136
9.22768 112.91413
9.24761 113.28493
9.26754 113.61892
9.28746 113.91288
9.30739 114.16537
9.32732 114.37668
9.34725 114.54879
9.36718 114.68516
9.38711 114.79039
9.40704 114.86988
9.42697 114.92930
9.44690 114.97419
9.46682 115.00950
9.48675 115.03923
9.50668 115.06619
9.52661 115.09194
9.54654 115.11687
9.56647 115.14047
9.58640 115.16175
9.60633 115.17975
9.62626 115.19413
9.64619 115.20563
9.66611 115.21653
9.68604 115.23077
9.70597 115.25394
9.72590 115.29288
9.74583 115.35504
9.76576 115.44750
9.78569 115.57592
9.80562 115.74329
9.82555 115.94881
9.84547 116.18700
9.86540 116.44705
9.88533 116.71276
9.90526 116.96293
9.92519 117.17240
9.94512 117.31353
9.96505 117.35824
9.98498 117.28030
10.00491 117.05761
10.02484 116.67454
10.04476 116.12369
10.06469 115.40723
10.08462 114.53741
10.10455 113.53623
10.12448 112.43425
10.14441 111.26866
10.16434 110.08058
10.18427 108.91210
10.20420 107.80307
10.22413 106.78809
10.24405 105.89402
10.26398 105.13808
10.28391 104.52690
10.30384 104.05662
10.32377 103.71377
10.34370 103.47719
10.36363 103.32048
10.38356 103.21485
10.40349 103.13203
10.42341 103.04693
10.44334 102.93976
10.46327 102.79745
10.48320 102.61415
10.50313 102.39088
10.52306 102.13446
10.54299 101.85576
10.56292 101.56760
10.58285 101.28265
10.60278 101.01152
10.62270 100.76122
10.64263 100.53443
10.66256 100.32929
10.68249 100.14007
10.70242 99.95827
10.72235 99.77425
10.74228 99.57891
10.76221 99.36527
10.78214 99.12978
10.80206 98.87298
10.82199 98.59962
10.84192 98.31800
10.86185 98.03889
10.88178 97.77385
10.90171 97.53353
10.92164 97.32588
10.94157 97.15476
10.96150 97.01893
10.98143 96.91176
11.00135 96.82150
11.02128 96.73225
11.04121 96.62533
11.06114 96.48105
11.08107 96.28050
11.10100 96.00729
11.12093 95.64900
11.14086 95.19811
11.16079 94.65261
11.18071 94.01597
11.20064 93.29677
11.22057 92.50800
11.24050 91.66611
11.26043 90.79005
11.28036 89.90023
11.30029 89.01762
11.32022 88.16285
11.34015 87.35548
11.36008 86.61323
11.38000 85.95121
11.39993 85.38123
11.41986 84.91097
11.43979 84.54339
11.45972 84.27611
11.47965 84.10123
11.49958 84.00544
11.51951 83.97069
11.53944 83.97534
11.55936 83.99593
11.57929 84.00924
11.59922 83.99475
11.61915 83.93689
11.63908 83.82713
11.65901 83.66537
11.67894 83.46053
11.69887 83.23004
11.71880 82.99831
11.73873 82.79419
11.75865 82.64765
11.77858 82.58600
11.79851 82.63020
11.81844 82.79150
11.83837 83.06903
11.85830 83.44870
11.87823 83.90345
11.89816 84.39510
11.91809 84.87766
11.93801 85.30162
11.95794 85.61900
11.97787 85.78851
11.99780 85.78018
12.01773 85.57904
12.03766 85.18730
12.05759 84.62475
12.07752 83.92729
12.09745 83.14366
12.11738 82.33078
12.13730 81.54795
12.15723 80.85085
12.17716 80.28557
12.19709 79.88377
12.21702 79.65912
12.23695 79.60564
12.25688 79.69810
12.27681 79.89443
12.29674 80.13987
12.31666 80.37261
12.33659 80.53004
12.35652 80.55527
12.37645 80.40297
12.39638 80.04413
12.41631 79.46912
12.43624 78.68878
12.45617 77.73345
12.47610 76.65006
12.49603 75.49758
12.51595 74.34139
12.53588 73.24702
12.55581 72.27410
12.57574 71.47099
12.59567 70.87067
12.61560 70.48831
12.63553 70.32062
12.65546 70.34711
12.67539 70.53297
12.69531 70.83325
12.71524 71.19789
12.73517 71.57696
12.75510 71.92567
12.77503 72.20858
12.79496 72.40262
12.81489 72.49871
12.83482 72.50177
12.85475 72.42938
12.87468 72.30903
12.89460 72.17455
12.91453 72.06200
12.93446 72.00542
12.95439 72.03291
12.97432 72.16349
12.99425 72.40482
13.01418 72.75210
13.03411 73.18824
13.05404 73.68507
13.07396 74.20562
13.09389 74.70710
13.11382 75.14442
13.13375 75.47385
13.15368 75.65654
13.17361 75.66168
13.19354 75.46900
13.21347 75.07040
13.23340 74.47078
13.25333 73.68777
13.27325 72.75062
13.29318 71.69822
13.31311 70.57642
13.33304 69.43495
13.35297 68.32391
13.37290 67.29047
13.39283 66.37568
13.41276 65.61178
13.43269 65.02027
13.45261 64.61071
13.47254 64.38054
13.49247 64.31573
13.51240 64.39239
13.53233 64.57903
13.55226 64.83940
13.57219 65.13556
13.59212 65.43100
13.61205 65.69350
13.63198 65.89741
13.65190 66.02528
13.67183 66.06863
13.69176 66.02786
13.71169 65.91124
13.73162 65.73327
13.75155 65.51241
13.77148 65.26869
13.79141 65.02114
13.81134 64.78568
13.83126 64.57336
13.85119 64.38944
13.87112 64.23320
13.89105 64.09854
13.91098 63.97533
13.93091 63.85127
13.95084 63.71409
13.97077 63.55366
13.99070 63.36393
14.01063 63.14421
14.03055 62.89983
14.05048 62.64184
14.07041 62.38598
14.09034 62.15087
14.11027 61.95568
14.13020 61.81766
14.15013 61.74971
14.17006 61.75844
14.18999 61.84298
14.20991 61.99470
14.22984 62.19793
14.24977 62.43168
14.26970 62.67215
14.28963 62.89568
14.30956 63.08191
14.32949 63.21656
14.34942 63.29365
14.36935 63.31670
14.38928 63.29877
14.40920 63.26130
14.42913 63.23186
14.44906 63.24093
14.46899 63.31835
14.48892 63.48951
14.50885 63.77202
14.52878 64.17321
14.54871 64.68865
14.56864 65.30206
14.58856 65.98657
14.60849 66.70711
14.62842 67.42391
14.64835 68.09639
14.66828 68.68730
14.68821 69.16639
14.70814 69.51339
14.72807 69.71981
14.74800 69.78947
14.76793 69.73761
14.78785 69.58887
14.80778 69.37415
14.82771 69.12688
14.84764 68.87914
14.86757 68.65799
14.88750 68.48241
14.90743 68.36137
14.92736 68.29301
14.94729 68.26516
14.96721 68.25712
14.98714 68.24239
15.00707 68.19219
15.02700 68.07918
15.04693 67.88115
15.06686 67.58413
15.08679 67.18454
15.10672 66.69034
15.12665 66.12079
15.14658 65.50505
15.16650 64.87969
15.18643 64.28540
15.20636 63.76328
15.22629 63.35109
15.24622 63.07988
15.26615 62.97133
15.28608 63.03605
15.30601 63.27308
15.32594 63.67037
15.34586 64.20640
15.36579 64.85249
15.38572 65.57567
15.40565 66.34165
15.42558 67.11765
15.44551 67.87470
15.46544 68.58944
15.48537 69.24495
15.50530 69.83098
15.52523 70.34348
15.54515 70.78355
15.56508 71.15617
15.58501 71.46891
15.60494 71.73066
15.62487 71.95077
15.64480 72.13849
15.66473 72.30282
15.68466 72.45269
15.70459 72.59732
15.72451 72.74663
15.74444 72.91157
15.76437 73.10414
15.78430 73.33713
15.80423 73.62347
15.82416 73.97522
15.84409 74.40243
15.86402 74.91175
15.88395 75.50533
15.90388 76.17991
15.92380 76.92636
15.94373 77.72981
15.96366 78.57041
15.98359 79.42465
16.00352 80.26711
16.02345 81.07266
16.04338 81.81859
16.06331 82.48670
16.08324 83.06494
16.10316 83.54857
16.12309 83.94048
16.14302 84.25079
16.16295 84.49578
16.18288 84.69603
16.20281 84.87426
16.22274 85.05288
16.24267 85.25163
16.26260 85.48556
16.28253 85.76353
16.30245 86.08747
16.32238 86.45239
16.34231 86.84728
16.36224 87.25656
16.38217 87.66224
16.40210 88.04619
16.42203 88.39255
16.44196 88.68980
16.46189 88.93232
16.48181 89.12137
16.50174 89.26510
16.52167 89.37791
16.54160 89.47895
16.56153 89.59019
16.58146 89.73402
16.60139 89.93086
16.62132 90.19702
16.64125 90.54289
16.66118 90.97197
16.68110 91.48051
16.70103 92.05809
16.72096 92.68884
16.74089 93.35331
16.76082 94.03059
16.78075 94.70065
16.80068 95.34631
16.82061 95.95492
16.84054 96.51926
16.86047 97.03782
16.88039 97.51420
16.90032 97.95596
16.92025 98.37284
16.94018 98.77487
16.96011 99.17044
16.98004 99.56471
16.99997 99.95855
17.01990 100.34823
17.03983 100.72586
17.05975 101.08056
17.07968 101.40023
17.09961 101.67361
17.11954 101.89246
17.13947 102.05334
17.15940 102.15890
17.17933 102.21833
17.19926 102.24686
17.21919 102.26434
17.23912 102.29295
17.25904 102.35441
17.27897 102.46688
17.29890 102.64199
17.31883 102.88247
17.33876 103.18060
17.35869 103.51781
17.37862 103.86555
17.39855 104.18742
17.41848 104.44237
17.43840 104.58867
17.45833 104.58833
17.47826 104.41133
17.49819 104.03944
17.51812 103.46895
17.53805 102.71220
17.55798 101.79751
17.57791 100.76776
17.59784 99.67738
17.61777 98.58835
17.63769 97.56538
17.65762 96.67087
17.67755 95.95998
17.69748 95.47652
17.71741 95.24968
17.73734 95.29226
17.75727 95.60025
17.77720 96.15377
17.79713 96.91943
17.81705 97.85350
17.83698 98.90583
17.85691 100.02392
17.87684 101.15688
17.89677 102.25880
17.91670 103.29144
17.93663 104.22590
17.95656 105.04334
17.97649 105.73478
17.99642 106.30005
18.01634 106.74627
18.03627 107.08591
18.05620 107.33485
18.07613 107.51054
18.09606 107.63053
18.11599 107.71132
18.13592 107.76774
18.15585 107.81266
18.17578 107.85705
18.19570 107.91022
18.21563 107.98010
18.23556 108.07346
18.25549 108.19603
18.27542 108.35238
18.29535 108.54568
18.31528 108.77727
18.33521 109.04627
18.35514 109.34921
18.37507 109.67980
18.39499 110.02906
18.41492 110.38561
18.43485 110.73638
18.45478 111.06752
18.47471 111.36554
18.49464 111.61849
18.51457 111.81707
18.53450 111.95558
18.55443 112.03247
18.57435 112.05057
18.59428 112.01688
18.61421 111.94189
18.63414 111.83859
18.65407 111.72125
18.67400 111.60407
18.69393 111.49990
18.71386 111.41917
18.73379 111.36909
18.75372 111.35331
18.77364 111.37196
18.79357 111.42208
18.81350 111.49843
18.83343 111.59449
18.85336 111.70351
18.87329 111.81957
18.89322 111.93836
18.91315 112.05771
18.93308 112.17778
18.95300 112.30078
18.97293 112.43047
18.99286 112.57131
19.01279 112.72755
19.03272 112.90223
19.05265 113.09643
19.07258 113.30863
19.09251 113.53455
19.11244 113.76725
19.13237 113.99771
19.15229 114.21557
19.17222 114.41029
19.19215 114.57222
19.21208 114.69373
